Q,clip,W,D,snr_db,ber,n_errors,n_bits,ci_low,ci_high
4,2.5,10,24,4.5,1.0609626770019531e-05,712,67108864,9.084089770092972e-06,1.213516376994609e-05
4,2.5,10,24,5.0,1.6391277313232422e-06,330,201326592,1.284425040774506e-06,1.9938304218719785e-06
4,2.5,10,24,5.5,2.384185791015625e-07,48,201326592,1.0422879913263886e-07,3.7260835907048614e-07
4,2.5,10,32,4.0,2.3871660232543945e-05,801,33554432,2.0356442357248067e-05,2.7386878107839824e-05
4,2.5,10,32,4.5,4.649162292480469e-06,468,100663296,3.7223426398793135e-06,5.575981945081624e-06
4,2.5,10,32,5.0,5.414088567097982e-07,109,201326592,3.3697841311331496e-07,7.458393003062815e-07
4,2.5,10,32,5.5,7.947285970052083e-08,16,201326592,1.5900514025045932e-09,1.5735566799853705e-07
4,2.5,10,48,4.0,2.1457672119140625e-05,720,33554432,1.7702737271332568e-05,2.5212606966948682e-05
4,2.5,10,48,4.5,3.769993782043457e-06,506,134217728,3.008938063357248e-06,4.531049500729666e-06
4,2.5,10,48,5.0,5.116065343221029e-07,103,201326592,2.919764119478576e-07,7.312366566963482e-07
4,2.5,10,48,5.5,3.9736429850260414e-08,8,201326592,0.0,8.937736898436749e-08
4,2.5,10,64,4.0,1.817941665649414e-05,610,33554432,1.4877819597997494e-05,2.1481013714990786e-05
4,2.5,10,64,4.5,3.7997961044311523e-06,510,134217728,3.0641058750723877e-06,4.535486333789917e-06
4,2.5,10,64,5.0,4.7187010447184247e-07,95,201326592,2.803626171353648e-07,6.633775918083202e-07
4,2.5,10,64,5.5,2.9802322387695312e-08,6,201326592,0.0,7.944339747778846e-08
4,3.0,10,24,4.0,5.754828453063965e-05,1931,33554432,5.247767220945727e-05,6.261889685182202e-05
4,3.0,10,24,4.5,9.462237358093262e-06,635,67108864,8.103947605126996e-06,1.0820527111059528e-05
4,3.0,10,24,5.0,1.7036994298299153e-06,343,201326592,1.3518195891251706e-06,2.0555792705346597e-06
4,3.0,10,24,5.5,2.1855036417643228e-07,44,201326592,1.0841055671399331e-07,3.2869017163887126e-07
4,3.0,10,32,4.0,2.9772520065307617e-05,999,33554432,2.5443400742832026e-05,3.410163938778321e-05
4,3.0,10,32,4.5,4.351139068603516e-06,438,100663296,3.463971050055673e-06,5.238307087151358e-06
4,3.0,10,32,5.0,6.755193074544271e-07,136,201326592,4.4067370989577837e-07,9.103649050130759e-07
4,3.0,10,32,5.5,1.142422358194987e-07,23,201326592,1.7377046991885314e-08,2.111074246471121e-07
4,3.0,10,48,4.0,2.3990869522094727e-05,805,33554432,2.004754075253543e-05,2.7934198291654022e-05
4,3.0,10,48,4.5,4.450480143229167e-06,448,100663296,3.538882316366872e-06,5.362077970091462e-06
4,3.0,10,48,5.0,4.967053731282552e-07,100,201326592,2.8431427720397685e-07,7.090964690525336e-07
4,3.0,10,48,5.5,2.0364920298258463e-07,41,201326592,4.6974547861561475e-08,3.603238581036078e-07
4,3.0,10,64,4.0,2.473592758178711e-05,830,33554432,2.0791840632442872e-05,2.8680014531131347e-05
4,3.0,10,64,4.5,3.732740879058838e-06,501,134217728,3.0112359581980506e-06,4.454245799919625e-06
