Q,W,D,clip,power_gated,nf_db,p_circuit_mw,e_dec_pj_per_bit,model,env,eta_pa,dstar_m
6,12,64,3.0,False,3.0,20,469.875,B,indoor,0.1,76.526
6,12,64,3.0,False,3.0,60,469.875,A,free_space,0.1,299.988
6,12,64,3.0,False,3.0,60,469.875,A,indoor,0.1,26.031
6,12,64,3.0,False,3.0,60,469.875,B,free_space,0.1,3403.155
6,12,64,3.0,False,3.0,60,469.875,B,indoor,0.1,104.284
6,12,64,3.0,False,3.0,120,469.875,A,free_space,0.1,299.988
6,12,64,3.0,False,3.0,120,469.875,A,indoor,0.1,26.031
6,12,64,3.0,False,3.0,120,469.875,B,free_space,0.1,4803.429
6,12,64,3.0,False,3.0,120,469.875,B,indoor,0.1,126.982
6,12,64,3.0,False,6.0,20,469.875,A,free_space,0.1,212.375
6,12,64,3.0,False,6.0,20,469.875,A,indoor,0.1,21.368
6,12,64,3.0,False,6.0,20,469.875,B,free_space,0.1,1401.747
6,12,64,3.0,False,6.0,20,469.875,B,indoor,0.1,62.82
6,12,64,3.0,False,6.0,60,469.875,A,free_space,0.1,212.375
6,12,64,3.0,False,6.0,60,469.875,A,indoor,0.1,21.368
6,12,64,3.0,False,6.0,60,469.875,B,free_space,0.1,2409.249
6,12,64,3.0,False,6.0,60,469.875,B,indoor,0.1,85.606
6,12,64,3.0,False,6.0,120,469.875,A,free_space,0.1,212.375
6,12,64,3.0,False,6.0,120,469.875,A,indoor,0.1,21.368
6,12,64,3.0,False,6.0,120,469.875,B,free_space,0.1,3400.567
6,12,64,3.0,False,6.0,120,469.875,B,indoor,0.1,104.239
6,12,64,3.0,False,10.0,20,469.875,A,free_space,0.1,134.0
6,12,64,3.0,False,10.0,20,469.875,A,indoor,0.1,16.424
6,12,64,3.0,False,10.0,20,469.875,B,free_space,0.1,884.443
6,12,64,3.0,False,10.0,20,469.875,B,indoor,0.1,48.285
6,12,64,3.0,False,10.0,60,469.875,A,free_space,0.1,134.0
6,12,64,3.0,False,10.0,60,469.875,A,indoor,0.1,16.424
6,12,64,3.0,False,10.0,60,469.875,B,free_space,0.1,1520.133
6,12,64,3.0,False,10.0,60,469.875,B,indoor,0.1,65.799
6,12,64,3.0,False,10.0,120,469.875,A,free_space,0.1,134.0
6,12,64,3.0,False,10.0,120,469.875,A,indoor,0.1,16.424
6,12,64,3.0,False,10.0,120,469.875,B,free_space,0.1,2145.613
6,12,64,3.0,False,10.0,120,469.875,B,indoor,0.1,80.12
